dcterms:identifier,OmekaID
ZAH001,1
ZAH001-1,2
ZAH001-2,3
ZAH001,74
ZDH018,75
ZEH019,76
ZEH021,77
ZFC022,78
ZFC023,79
ZGG024,80
ZGG025,81
ZGG026,82
ZGG027,83
ZGG028,84
ZGG029,85
ZGG030,86
ZHG031,87
ZHG032,88
ZHG034,89
ZHG035,90
ZHG036,91
ZHG037,92
ZIG038,93
ZIG039,94
ZIG040,95
ZIG041,96
ZIG042,97
ZIG043,98
ZIG044,99
ZIG045,100
ZJG046,101
ZJG047,102
ZJG048,103
ZJG049,104
ZJG050,105
ZJG051,106
ZJG052,107
ZKG053,108
ZKG054,109
ZKG055,110
ZKG056,111
PEG001,112
PKG002,113
PBH003,114
PBG004,115
PCG006,116
PDG007,117
PEG010,118
PEG011,119
PEG012,120
PEG013,121
PEG014,122
PEG015,123
PEG016,124
PGG018,125
PGG019,126
PGG020,127
PGG021,128
PHG028,129
PIG029,130
PIG030,131
PIG031,132
PKA035,133
PLA036,134
PIB038,135
PDN039,136
PDN040,137
PEJ041,138
PEJ042,139
PEI043,140
PEK045,141
PIL046,142
PEO048,143
ZAH001-1,144
ZAH001-2,145
ZAH001-3,146
ZAH001-4,147
ZAH001-5,148
ZDH018-1,149
ZDH018-2,150
ZDH018-3,151
ZDH018-4,152
ZDH018-5,153
ZEH019-1,154
ZEH019-2,155
ZEH019-3,156
ZEH019-4,157
ZEH019-5,158
ZEH021-1,159
ZEH021-2,160
ZEH021-3,161
ZEH021-4,162
ZEH021-5,163
ZFC022-1,164
ZFC022-2,165
ZFC022-3,166
ZFC022-4,167
ZFC022-5,168
ZFC023-1,169
ZFC023-2,170
ZFC023-3,171
ZFC023-4,172
ZFC023-5,173
ZGG024-1,174
ZGG024-2,175
ZGG024-3,176
ZGG024-4,177
ZGG024-5,178
ZGG025-1,179
ZGG025-2,180
ZGG025-3,181
ZGG025-4,182
ZGG025-5,183
ZGG026-1,184
ZGG026-2,185
ZGG026-3,186
ZGG026-4,187
ZGG026-5,188
ZGG027-1,189
ZGG027-2,190
ZGG027-3,191
ZGG027-4,192
ZGG027-5,193
ZGG028-1,194
ZGG028-2,195
ZGG028-3,196
ZGG028-4,197
ZGG028-5,198
ZGG029-1,199
ZGG029-2,200
ZGG029-3,201
ZGG029-4,202
ZGG029-5,203
ZGG030-1,204
ZGG030-2,205
ZGG030-3,206
ZGG030-4,207
ZGG030-5,208
ZHG031-1,209
ZHG031-2,210
ZHG031-3,211
ZHG031-4,212
ZHG031-5,213
ZHG032-1,214
ZHG032-2,215
ZHG032-3,216
ZHG032-4,217
ZHG032-5,218
ZHG034-1,219
ZHG034-2,220
ZHG034-3,221
ZHG034-4,222
ZHG034-5,223
ZHG035-1,224
ZHG035-2,225
ZHG035-3,226
ZHG035-4,227
ZHG035-5,228
ZHG036-1,229
ZHG036-2,230
ZHG036-3,231
ZHG036-4,232
ZHG036-5,233
ZHG037-1,234
ZHG037-2,235
ZHG037-3,236
ZHG037-4,237
ZHG037-5,238
ZIG038-1,239
ZIG038-2,240
ZIG038-3,241
ZIG038-4,242
ZIG038-5,243
ZIG039-1,244
ZIG039-2,245
ZIG039-3,246
ZIG039-4,247
ZIG039-5,248
ZIG040-1,249
ZIG040-2,250
ZIG040-3,251
ZIG040-4,252
ZIG040-5,253
ZIG041-1,254
ZIG041-2,255
ZIG041-3,256
ZIG041-4,257
ZIG041-5,258
ZIG042-1,259
ZIG042-2,260
ZIG042-3,261
ZIG042-4,262
ZIG042-5,263
ZIG043-1,264
ZIG043-2,265
ZIG043-3,266
ZIG043-4,267
ZIG043-5,268
ZIG044-1,269
ZIG044-2,270
ZIG044-3,271
ZIG044-4,272
ZIG044-5,273
ZIG045-1,274
ZIG045-2,275
ZIG045-3,276
ZIG045-4,277
ZIG045-5,278
ZJG046-1,279
ZJG046-2,280
ZJG046-3,281
ZJG046-4,282
ZJG046-5,283
ZJG047-1,284
ZJG047-2,285
ZJG047-3,286
ZJG047-4,287
ZJG047-5,288
ZJG048-1,289
ZJG048-2,290
ZJG048-3,291
ZJG048-4,292
ZJG048-5,293
ZJG049-1,294
ZJG049-2,295
ZJG049-3,296
ZJG049-4,297
ZJG049-5,298
ZJG050-1,299
ZJG050-2,300
ZJG050-3,301
ZJG050-4,302
ZJG050-5,303
ZJG051-1,304
ZJG051-2,305
ZJG051-3,306
ZJG051-4,307
ZJG051-5,308
ZJG052-1,309
ZJG052-2,310
ZJG052-3,311
ZJG052-4,312
ZJG052-5,313
ZKG053-1,314
ZKG053-2,315
ZKG053-3,316
ZKG053-4,317
ZKG053-5,318
ZKG054-1,319
ZKG054-2,320
ZKG054-3,321
ZKG054-4,322
ZKG054-5,323
ZKG055-1,324
ZKG055-2,325
ZKG055-3,326
ZKG055-4,327
ZKG055-5,328
ZKG056-1,329
ZKG056-2,330
ZKG056-3,331
ZKG056-4,332
ZKG056-5,333
PEG001-1,334
PEG001-2,335
PEG001-3,336
PEG001-4,337
PEG001-5,338
PKG002-1,339
PKG002-2,340
PKG002-3,341
PKG002-4,342
PKG002-5,343
PBH003-1,344
PBH003-2,345
PBH003-3,346
PBH003-4,347
PBH003-5,348
PBG004-1,349
PBG004-2,350
PBG004-3,351
PBG004-4,352
PBG004-5,353
PCG006-1,354
PCG006-2,355
PCG006-3,356
PCG006-4,357
PCG006-5,358
PDG007-1,359
PDG007-2,360
PDG007-3,361
PDG007-4,362
PDG007-5,363
PEG010-1,364
PEG010-2,365
PEG010-3,366
PEG010-4,367
PEG010-5,368
PEG011-1,369
PEG011-2,370
PEG011-3,371
PEG011-4,372
PEG011-5,373
PEG012-1,374
PEG012-2,375
PEG012-3,376
PEG012-4,377
PEG012-5,378
PEG013-1,379
PEG013-2,380
PEG013-3,381
PEG013-4,382
PEG013-5,383
PEG014-1,384
PEG014-2,385
PEG014-3,386
PEG014-4,387
PEG014-5,388
PEG015-1,389
PEG015-2,390
PEG015-3,391
PEG015-4,392
PEG015-5,393
PEG016-1,394
PEG016-2,395
PEG016-3,396
PEG016-4,397
PEG016-5,398
PGG018-1,399
PGG018-2,400
PGG018-3,401
PGG018-4,402
PGG018-5,403
PGG019-1,404
PGG019-2,405
PGG019-3,406
PGG019-4,407
PGG019-5,408
PGG020-1,409
PGG020-2,410
PGG020-3,411
PGG020-4,412
PGG020-5,413
PGG021-1,414
PGG021-2,415
PGG021-3,416
PGG021-4,417
PGG021-5,418
PHG028-1,419
PHG028-2,420
PHG028-3,421
PHG028-4,422
PHG028-5,423
PIG029-1,424
PIG029-2,425
PIG029-3,426
PIG029-4,427
PIG029-5,428
PIG030-1,429
PIG030-2,430
PIG030-3,431
PIG030-4,432
PIG030-5,433
PIG031-1,434
PIG031-2,435
PIG031-3,436
PIG031-4,437
PIG031-5,438
PKA035-1,439
PKA035-2,440
PKA035-3,441
PKA035-4,442
PKA035-5,443
PLA036-1,444
PLA036-2,445
PLA036-3,446
PLA036-4,447
PLA036-5,448
PIB038-1,449
PIB038-2,450
PIB038-3,451
PIB038-4,452
PIB038-5,453
PDN039-1,454
PDN039-2,455
PDN039-3,456
PDN039-4,457
PDN039-5,458
PDN040-1,459
PDN040-2,460
PDN040-3,461
PDN040-4,462
PDN040-5,463
PEJ041-1,464
PEJ041-2,465
PEJ041-3,466
PEJ041-4,467
PEJ041-5,468
PEJ042-1,469
PEJ042-2,470
PEJ042-3,471
PEJ042-4,472
PEJ042-5,473
PEI043-1,474
PEI043-2,475
PEI043-3,476
PEI043-4,477
PEI043-5,478
PEK045-1,479
PEK045-2,480
PEK045-3,481
PEK045-4,482
PEK045-5,483
PIL046-1,484
PIL046-2,485
PIL046-3,486
PIL046-4,487
PIL046-5,488
PEO048-1,489
PEO048-2,490
PEO048-3,491
PEO048-4,492
PEO048-5,493
